file,directory,program,doc_type,text_length,ikk_relevance,info_analytical_total,communicative_total,technological_total,reflexive_total,total_ikk_keywords,top_keywords
Програма Типографіка.pdf,ГД_програми,ГД,program,12693,high,9,6,10,6,31,інформацій(2); інформаційн(2); пошук(2); візуальн(5); візуалізац(1); верст(2); програмн(1); технолог(1); етичн(5); етик(1)
Програма Фотосправа і фотографіка.pdf,ГД_програми,ГД,program,11524,high,23,6,7,2,38,цифров(13); інформацій(2); інформаційн(2); візуальн(6); програмн(1); технолог(1); Adobe(1); етик(1); етичн(1)
Програма Шрифт.pdf,ГД_програми,ГД,program,17545,high,9,0,5,15,29,пошук(2); онлайн(2); інформацій(1); комп'ютер(3); програмн(1); технолог(1); етичн(6); авторськ(5); етик(3)
Програма Історія костюма.pdf,ДО_програми,ДО,program,37031,high,16,6,8,43,73,пошук(7); ШІ(5); інформацій(1); соціальн(6); моделюван(5); верст(2); технолог(1); етичн(33); етик(9); авторськ(1)
Програма Дизайн аксесуарів.pdf,ДО_програми,ДО,program,20029,high,6,4,34,8,52,інформацій(1); інформаційн(1); пошук(1); соціальн(3); візуальн(1); технолог(20); моделюван(7); Adobe(2); етичн(7); самооцін(1)
Програма Комп_ютерне проектування одягу.pdf,ДО_програми,ДО,program,21624,high,16,1,78,3,98,електронн(6); інформацій(3); інформаційн(3); візуальн(1); технолог(19); Photoshop(13); Corel(13); самооцін(1); етичн(1); авторськ(1)
Програма Комплексне проєктування  ДО.pdf,ДО_програми,ДО,program,23713,high,18,3,57,9,87,веб(9); пошук(5); AI(2); візуальн(2); візуалізац(1); моделюван(36); технолог(20); програмн(1); етичн(6); авторськ(3)
Програма Композиція костюма.pdf,ДО_програми,ДО,program,20536,high,7,5,7,3,22,інформацій(3); інформаційн(3); AI(1); візуальн(3); презентац(2); технолог(6); моделюван(1); етичн(2); етик(1)
Програма Композиція костюма_2019.pdf,ДО_програми,ДО,program,20728,high,7,5,7,2,21,інформацій(3); інформаційн(3); AI(1); візуальн(3); презентац(2); технолог(6); моделюван(1); етичн(2)
Програма Матеріалознавство.pdf,ДО_програми,ДО,program,20634,high,26,4,19,10,59,веб(13); штучн(8); AI(2); презентац(2); портфоліо(1); візуальн(1); технолог(14); мультимедій(2); програмн(1); етичн(9); самоосвіт(1)
Програма Методика дизайн-проектування колекцій.pdf,ДО_програми,ДО,program,17049,high,16,2,9,8,35,веб(11); AI(2); інформацій(1); презентац(2); технолог(7); моделюван(2); авторськ(5); етичн(2); крити(1)
Програма Народні ремесла в декорі костюму.pdf,ДО_програми,ДО,program,13644,high,4,1,24,3,32,інформацій(1); інформаційн(1); пошук(1); візуальн(1); технолог(23); моделюван(1); етичн(3)
Програма Народні ремесла в декорі костюму_2019.pdf,ДО_програми,ДО,program,12584,high,4,1,22,3,30,інформацій(1); інформаційн(1); пошук(1); візуальн(1); технолог(21); моделюван(1); етичн(3)
Програма Основи конструювання та моделювання одягу.pdf,ДО_програми,ДО,program,30621,high,24,1,71,4,100,веб(18); електронн(2); AI(2); презентац(1); моделюван(41); технолог(30); етичн(3); авторськ(1)
Програма Основи текстильного дизайну.pdf,ДО_програми,ДО,program,29272,high,25,5,33,29,92,веб(15); пошук(2); цифров(2); презентац(3); портфоліо(1); візуальн(1); технолог(17); комп'ютер(9); моделюван(3); етичн(15); авторськ(13); самоосвіт(1)
Програма Технологія обробки деталей одягу.pdf,ДО_програми,ДО,program,41975,high,22,1,95,0,118,машинн(9); веб(5); ШІ(3); презентац(1); технолог(93); моделюван(2)
Програма Техніки крою.pdf,ДО_програми,ДО,program,18858,high,4,2,8,5,19,інформацій(1); інформаційн(1); штучн(1); презентац(2); моделюван(5); технолог(3); етичн(3); етик(1); авторськ(1)
Програма Фешн ілюстрація.pdf,ДО_програми,ДО,program,22212,high,18,2,35,10,65,пошук(5); інформацій(3); інформаційн(3); команд(2); Photoshop(8); технолог(7); комп'ютер(5); етичн(8); рефлекс(2)
Програма Художнє оздоблення одягу - копия.pdf,ДО_програми,ДО,program,18754,high,5,2,7,9,23,інформацій(1); інформаційн(1); пошук(1); презентац(2); технолог(6); моделюван(1); етик(5); етичн(3); авторськ(1)
